"統計名：","住民基本台帳人口移動報告 年報（年齢別）2010年～2019年"
"表番号：","5-3"
"表題：","年齢（５歳階級）、男女別転入超過数（2014年～2019年）"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","","","","","/年齢 コード","000","204","205","206","207","208","209","210","211","212","213"
"表章項目 コード","表章項目","性別 コード","性別","国籍 コード","国籍","時間軸（年次） コード","時間軸（年次）","地域 コード","地域","/年齢","総数","15～19歳","20～24歳","25～29歳","30～34歳","35～39歳","40～44歳","45～49歳","50～54歳","55～59歳","60～64歳"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2016000000","2016年","11241","鶴ヶ島市","","-107","20","-50","-83","-26","-46","-6","12","-11","0","-10"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2016000000","2016年","11245","ふじみ野市","","520","148","-7","40","69","78","-26","11","21","18","5"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2015000000","2015年","11201","川越市","","548","243","55","-93","30","55","47","28","-13","-8","28"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2015000000","2015年","11228","志木市","","390","57","136","61","41","19","-37","34","44","9","-9"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2015000000","2015年","11235","富士見市","","689","65","313","193","66","54","-14","-18","4","-32","29"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2015000000","2015年","11239","坂戸市","","93","87","-112","-16","38","-23","22","13","-15","-8","-10"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2015000000","2015年","11241","鶴ヶ島市","","-139","45","-41","-31","-118","-31","2","10","19","-11","2"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2015000000","2015年","11245","ふじみ野市","","776","150","-12","51","77","97","54","47","46","15","29"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2014000000","2014年","11201","川越市","","545","199","154","-63","-116","62","23","82","-10","45","25"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2014000000","2014年","11228","志木市","","149","20","45","16","81","31","2","-8","0","-5","-26"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2014000000","2014年","11235","富士見市","","488","66","280","97","80","-10","-17","-58","-7","-20","4"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2014000000","2014年","11239","坂戸市","","176","114","-126","-112","-4","20","22","15","-5","8","19"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2014000000","2014年","11241","鶴ヶ島市","","-55","55","-42","-19","-54","-44","-9","7","2","5","7"
"04","転入超過数【人】","0","総数","61000","日本人移動者","2014000000","2014年","11245","ふじみ野市","","1,736","87","43","149","354","316","115","18","54","26","37"
